Name,Price
D Fort,"$379,900"
E Curnow,"$379,400"
S Collins,"$379,100"
J Ross,"$378,600"
J Stringer,"$378,400"
J Weitering,"$378,100"
J Stephenson,"$377,500"
W Hayward,"$377,100"
I Quaynor,"$376,700"
J Darling,"$376,500"
J Lever,"$375,700"
J Laverde,"$375,100"
M Bergman,"$374,900"
J Ceglar,"$374,400"
L McCarthy,"$374,100"
M Chol,"$373,600"
D Fogarty,"$373,400"
O Florent,"$372,900"
Z Guthrie,"$371,900"
M Hinge,"$371,800"
T Sparrow,"$371,500"
D Howard,"$370,500"
N Cumberland,"$368,800"
H McLean,"$368,200"
D Stephens,"$367,000"
T McDonald,"$365,800"
M Walters,"$365,700"
C Nash,"$365,200"
K Pickett,"$365,000"
J Payne,"$364,600"
R West,"$363,800"
K Langford,"$362,800"
L Sholl,"$362,800"
C Budarick,"$362,800"
S De Koning,"$362,600"
W Day,"$362,100"
D McStay,"$360,800"
B Fritsch,"$360,600"
M Holmes,"$360,600"
J Lukosius,"$360,400"
B Fiorini,"$360,400"
S Hayes,"$359,600"
C Ballard,"$357,000"
N Reeves,"$356,500"
J Ziebell,"$356,400"
L O'Brien,"$354,400"
L Bramble,"$354,200"
S Durham,"$354,000"
B Long,"$353,900"
N O'Driscoll,"$352,900"
J Jones,"$352,700"
C Wingard,"$352,400"
Z Jones,"$352,400"
J Sweet,"$351,800"
G Miers,"$351,200"
J Ward,"$351,200"
C Zurhaar,"$351,200"
L Breust,"$350,300"
O Markov,"$348,800"
J H-Francis,"$348,800"
N Holman,"$348,200"
W Setterfield,"$348,200"
B Hobbs,"$347,900"
J Soligo,"$347,900"
C Idun,"$345,800"
B Paton,"$345,800"
S Frost,"$345,500"
T Dumont,"$345,500"
T Jonas,"$344,500"
T O'Brien,"$344,400"
D Gardiner,"$344,400"
J Wehr,"$344,100"
S Menegola,"$344,000"
S McAdam,"$342,500"
W Rioli,"$342,200"
J Higgins,"$341,700"
R Gardner,"$339,800"
B Miller,"$339,700"
M Hibberd,"$339,700"
J Impey,"$339,300"
B Brown,"$339,100"
J Daniher,"$338,800"
J Henry,"$338,600"
M McGovern,"$338,400"
E Himmelberg,"$338,400"
N Murphy,"$337,100"
E Yeo,"$337,000"
M Cottrell,"$335,900"
N Answerth,"$335,600"
L Ash,"$335,300"
C Taylor,"$335,300"
M Cox,"$335,100"
X O'Neill,"$333,800"
J Webster,"$333,600"
H Ralphsmith,"$333,300"
T Clurey,"$333,300"
J Farrar,"$333,100"
J Kelly,"$332,200"
J Hopper,"$332,000"
D Sheed,"$332,000"
T McCartin,"$331,100"
W H-Elliott,"$330,900"
M Frederick,"$330,600"
D Rampe,"$330,100"
N Balta,"$330,000"
A Kennedy,"$329,400"
C West,"$328,700"
A Pearce,"$328,600"
J Hayes,"$328,600"
B Mihocek,"$328,100"
J Worrell,"$328,100"
J Riccardi,"$325,600"
A Phillips,"$325,500"
T Rivers,"$324,200"
T Sonsie,"$323,700"
M O'Connor,"$323,100"
H Schoenberg,"$322,800"
D Grimes,"$322,300"
L Dunstan,"$322,100"
C Graham,"$321,500"
W Milera,"$321,200"
H Petty,"$320,700"
S Lemmens,"$320,700"
M Guelfi,"$319,900"
M Georgiades,"$319,300"
R Thilthorpe,"$318,800"
N Haynes,"$318,700"
N Larkey,"$318,500"
E Hollands,"$318,000"
R Tarrant,"$317,600"
B Williams,"$317,000"
J Ginnivan,"$316,900"
J Melksham,"$316,900"
N McHenry,"$316,600"
B McCreery,"$315,400"
H Clark,"$315,200"
L Plowman,"$314,900"
A Perkins,"$314,400"
L Shiels,"$313,800"
N Fyfe,"$313,600"
M Owies,"$313,200"
R Clarke,"$313,100"
B McKay,"$313,100"
E Hipwood,"$313,000"
C C-Jones,"$312,700"
J Prior,"$312,200"
J Kolodjashnij,"$312,200"
T Duryea,"$311,500"
T Bruhn,"$311,400"
M Taberner,"$311,300"
J Waterman,"$310,900"
L Murphy,"$310,600"
D Macpherson,"$310,400"
A Keath,"$310,300"
T Colyer,"$309,600"
H Cunningham,"$309,500"
J Worpel,"$309,300"
C Spargo,"$308,600"
H Edwards,"$308,600"
T Powell,"$308,000"
G Rohan,"$305,900"
J Koschitzke,"$305,800"
A Johnson,"$305,600"
L Foley,"$305,200"
B Williams,"$304,400"
B Walker,"$304,300"
N W-Milera,"$303,200"
N Cockatoo,"$303,000"
T Campbell,"$302,500"
A Scott,"$302,000"
D Howe,"$301,400"
J Jeffrey,"$301,300"
S Weideman,"$300,100"
D Butler,"$299,000"
J Johannisen,"$298,700"
J Burgoyne,"$298,000"
I Soldo,"$297,300"
J Martin,"$297,300"
J Gibcus,"$297,000"
C Weightman,"$297,000"
P Curtis,"$296,600"
P Davis,"$296,000"
T Thomas,"$295,700"
L Ryan,"$295,700"
T Dow,"$294,800"
B Campbell,"$294,100"
C Ah Chee,"$293,300"
R Smith,"$292,400"
M Lynch,"$290,900"
L McDonald,"$290,700"
J Petruccelle,"$290,400"
J Rachele,"$287,100"
J Hunt,"$285,600"
W Hamill,"$284,000"
E Hughes,"$283,700"
X Duursma,"$282,300"
J Castagna,"$281,800"
S P-Seton,"$281,600"
J Butts,"$280,500"
M Rosas,"$279,300"
C MacDonald,"$279,100"
W Snelling,"$278,700"
K Dawson,"$278,600"
J Bowes,"$277,500"
M D'Ambrosio,"$277,500"
J Culley,"$276,400"
T McKenzie,"$275,400"
L Vandermeer,"$274,100"
T Bedford,"$273,900"
A Tomlinson,"$273,200"
D Tucker,"$272,500"
J Rotham,"$272,300"
J Bews,"$272,000"
J Peatling,"$271,600"
B Khamis,"$271,200"
L Casboult,"$270,600"
O Henry,"$270,200"
C Brown,"$270,100"
C Jones,"$268,700"
H Jones,"$268,700"
M Windhager,"$266,200"
C Stephens,"$265,600"
L Jones,"$265,500"
F Perez,"$265,400"
R McComb,"$264,700"
F Maginness,"$264,600"
K Turner,"$264,300"
N Wilson,"$264,300"
A Davies,"$263,200"
R Byrnes,"$262,600"
C Sharman,"$262,400"
K Strachan,"$262,100"
J Mead,"$262,100"
R Bazzo,"$261,500"
J U-Hagan,"$261,300"
S Wicks,"$260,000"
D Robertson,"$259,900"
N Murray,"$257,000"
S Flanders,"$256,300"
T Fullarton,"$255,500"
J Stewart,"$254,600"
K Briggs,"$254,400"
D G-Barras,"$254,300"
D Lloyd,"$253,800"
T Highmore,"$252,500"
C Jamieson,"$251,400"
P Dow,"$251,100"
B Hough,"$250,700"
R Lester,"$250,500"
L Keeffe,"$250,000"
M Owens,"$249,900"
G Clark,"$249,600"
P Parnell,"$248,300"
J Amiss,"$247,800"
J Boyd,"$247,100"
M Rioli,"$246,600"
B Kemp,"$245,400"
J Blanck,"$245,000"
L McNeil,"$244,800"
F Callaghan,"$244,000"
S Darcy,"$243,700"
J Motlop,"$242,700"
C Durdin,"$240,900"
M Hannan,"$239,300"
S Day,"$235,600"
J Mahony,"$235,400"
C Hamilton,"$233,800"
B Banfield,"$233,700"
T Ruscoe,"$233,400"
Z Cordy,"$231,700"
N Erasmus,"$230,100"
Z Reid,"$229,400"
T Brown,"$229,200"
J McEntee,"$228,600"
L Jones,"$228,100"
J Stein,"$227,200"
L Aleer,"$226,800"
J Sharp,"$224,700"
L Cleary,"$224,600"
J Amartey,"$223,000"
T Bianco,"$222,300"
B Hill,"$221,700"
J Smith,"$221,100"
J Carmichael,"$218,900"
H Crozier,"$218,500"
J Schache,"$217,300"
C Lazzaro,"$217,200"
L Stocker,"$216,400"
J Archer,"$214,400"
A Sexton,"$214,400"
R Garcia,"$212,200"
B Cook,"$212,000"
E Jeka,"$211,400"
O Allen,"$210,200"
T Wilson,"$210,000"
A M-Tipungwuti,"$209,600"
N Coffield,"$208,800"
M Andrew,"$208,100"
L Gollant,"$208,100"
A Cadman,"$207,300"
J Carroll,"$207,000"
J Buckley,"$205,000"
R Atkins,"$203,900"
A Bonar,"$203,700"
O Fantasia,"$203,300"
W Ashcroft,"$202,800"
L Henry,"$202,300"
X O'Halloran,"$202,100"
J Treacy,"$200,400"
N Bryan,"$200,000"
B Teakle,"$198,500"
H Sheezel,"$198,300"
N Cox,"$198,200"
C Marchbank,"$198,200"
S Butler,"$197,600"
J Clarke,"$196,700"
G Wardlaw,"$193,800"
L Edwards,"$193,800"
J Goater,"$192,700"
N Kreuger,"$192,300"
B Daniels,"$191,300"
A Francis,"$189,400"
E Tsatas,"$189,300"
R Mansell,"$188,800"
S Durdin,"$188,300"
C Michael,"$188,300"
J Tunstill,"$187,900"
A Begg,"$187,900"
B Humphrey,"$184,800"
T Cole,"$182,300"
C Mackenzie,"$180,300"
D Joyce,"$179,200"
T McLean,"$178,900"
J Honey,"$177,300"
B King,"$176,300"
R McInnes,"$176,200"
I Winder,"$176,200"
J Clark,"$175,800"
Z Trew,"$175,400"
E Ratugolea,"$174,000"
L Pedlar,"$173,400"
K Baldwin,"$172,900"
L Melican,"$172,300"
R Ginbey,"$171,300"
J Hamling,"$169,600"
C McKenna,"$167,500"
L Fogarty,"$167,400"
M Phillipou,"$166,800"
S Simpson,"$166,100"
N Long,"$165,700"
A Sheldrick,"$165,700"
D Cuningham,"$163,800"
J Corbett,"$163,000"
O Hollands,"$162,300"
J Bruce,"$161,200"
H Oea,"$160,800"
J Bytel,"$158,600"
W Phillips,"$158,300"
J Fletcher,"$157,800"
A McPherson,"$155,700"
J Menzie,"$154,200"
J Busslinger,"$153,300"
M Keane,"$150,700"
B Nyuon,"$150,300"
E Hewett,"$148,800"
J Madden,"$148,400"
O Dempsey,"$148,400"
K Lohmann,"$146,500"
M Jefferson,"$144,300"
J Morris,"$142,700"
M Knevitt,"$140,700"
H Rowston,"$139,800"
C Burgess,"$138,700"
F Evans,"$136,500"
M Michalanney,"$135,300"
J Weddle,"$130,800"
S Neale,"$129,100"
E Allan,"$126,300"
L McAndrew,"$123,900"
T Wanganeen,"$123,900"
O Baker,"$123,900"
T Conway,"$123,900"
F Greene,"$123,900"
D Smith,"$123,900"
S Philp,"$123,900"
M Sheather,"$123,900"
M Colina,"$123,900"
C Fleeton,"$123,900"
C Blakely,"$123,900"
B Coleman,"$123,900"
S Mitchell,"$123,900"
T Brockman,"$123,900"
P Spicer,"$123,900"
D Bedendo,"$123,900"
M Allison,"$123,900"
S Ryan,"$123,900"
K Chandler,"$123,900"
H Smith,"$123,900"
B Laurie,"$123,900"
C Stone,"$123,900"
F Macrae,"$123,900"
O Lord,"$123,900"
R Angwin,"$123,900"
J Pasini,"$123,900"
S Kuek,"$123,900"
T Berry,"$123,900"
S Sturt,"$123,900"
A Mirkov,"$123,900"
C Raak,"$123,900"
J Tsitas,"$123,900"
A M-Wakefield,"$123,900"
O Faulkhead,"$123,900"
W Derksen,"$123,900"
M Ramsden,"$123,900"
P Voss,"$123,900"
C Dean,"$123,900"
J Bauer,"$123,900"
H H-Kahan,"$123,900"
W Kelly,"$123,900"
D Akuei,"$123,900"
J McVee,"$123,900"
F O'Hara,"$123,900"
K Lane,"$123,900"
D Williams,"$123,900"
J Borlase,"$123,900"
L Nankervis,"$123,900"
K Worner,"$123,900"
W Gould,"$123,900"
H Harrison,"$123,900"
H Sharp,"$123,900"
D Visentini,"$123,900"
T Woewodin,"$123,900"
J Serong,"$123,900"
C Murley,"$123,900"
A Draper,"$123,900"
S Brock,"$123,900"
J Williams,"$123,900"
L Rankin,"$123,900"
O Adams,"$123,900"
C Whyte,"$123,900"
Z Taylor,"$123,900"
E Benning,"$123,900"
T Newchurch,"$123,900"
A Lord,"$123,900"
H Jackson,"$123,900"
A Jones,"$123,900"
C Warner,"$123,900"
M Roberts,"$123,900"
L Connolly,"$123,900"
T Brown,"$123,900"
J Sinn,"$123,900"
F Kroeger,"$123,900"
C Comben,"$123,900"
M Bergman,"$123,900"
B Howes,"$123,900"
E Ford,"$123,900"
B Uwland,"$123,900"
D Wilmot,"$123,900"
J Van Rooyen,"$123,900"
J Willis,"$123,900"
M Johnson,"$123,900"
C Chesser,"$123,900"
J Fahey,"$123,900"
J Peris,"$123,900"
N Moyle,"$123,900"
M Heath,"$123,900"
J Edwards,"$123,900"
D Turner,"$123,900"
C McBride,"$123,900"
S Banks,"$123,900"
C Constable,"$123,900"
J Konstanty,"$121,800"
H Hustwaite,"$117,300"
B George,"$117,300"
T McCallum,"$117,300"
K Marshall,"$117,300"
K Smith,"$117,300"
J Van Es,"$117,300"
O Hotton,"$117,300"
I Keeler,"$117,300"
C Vickery,"$117,300"
C Mitchell,"$117,300"
H Barnett,"$117,300"
N Long,"$117,300"
C Burgiel,"$117,300"
C Clarke,"$117,300"
H Gallagher,"$117,300"
B Macdonald,"$117,300"
J O'Sullivan,"$117,300"
J Davey,"$117,300"
H Bond,"$117,300"
T McMullin,"$117,300"
T Scully,"$117,300"
T Emmett,"$117,300"
J Binns,"$117,300"
J Ryan,"$117,300"
J Richards,"$117,300"
D Jones,"$117,300"
L Hayes,"$117,300"
A Davey,"$117,300"
H Davies,"$117,300"
C Harvey,"$117,300"
H Lemmey,"$117,300"
C Wagner,"$117,300"
L Cowan,"$117,300"
S Green,"$117,300"
B Dowling,"$117,300"
P Foster,"$117,300"
J Adams,"$117,300"
M Gruzewski,"$117,300"
M Knobel,"$117,300"
O Sestan,"$102,400"
S Brain,"$102,400"
T Young,"$102,400"
O Riccardi,"$102,400"
N Barkla,"$102,400"
W Edwards,"$102,400"
C Owen,"$102,400"
B Drury,"$102,400"
W Verrall,"$102,400"
A Munkara,"$102,400"
L Johnston,"$102,400"
J Baker,"$102,400"
N Madden,"$102,400"
B McLaughlin,"$102,400"
J Draper,"$102,400"
O Mullin,"$102,400"
D M-White,"$102,400"
K F-White,"$102,400"
O Steene,"$102,400"
T Dewar,"$102,400"
L Reidy,"$102,400"
R Montgomerie,"$102,400"
C Williams,"$102,400"
S Campbell,"$102,400"
O Murdoch,"$102,400"
J Gillbee,"$102,400"
J Bennetts,"$102,400"
H Free,"$102,400"
A McLennan,"$102,400"
T Clohesy,"$102,400"
J Magor,"$102,400"
